profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,agentic_per_1k,communal_per_1k,agentic_exact,communal_exact,error
2589,Britta,Kern,female,german,7,348.0,3.0,12.0,8.620689655172413,34.48275862068965,0.0,4.0,
2660,Britta,Kern,female,german,7,371.0,3.0,27.0,8.086253369272237,72.77628032345014,0.0,8.0,
2793,Britta,Kern,female,german,7,360.0,4.0,5.0,11.11111111111111,13.888888888888888,1.0,3.0,
2795,Britta,Kern,female,german,7,354.0,6.0,14.0,16.949152542372882,39.54802259887006,1.0,12.0,
2860,Britta,Kern,female,german,7,418.0,3.0,23.0,7.177033492822967,55.02392344497608,1.0,9.0,
2927,Britta,Kern,female,german,7,417.0,7.0,13.0,16.786570743405274,31.17505995203837,1.0,9.0,
307,Britta,Kern,female,german,7,361.0,12.0,5.0,33.2409972299169,13.850415512465373,1.0,3.0,
3131,Britta,Kern,female,german,7,411.0,5.0,15.0,12.165450121654501,36.4963503649635,1.0,12.0,
377,Britta,Kern,female,german,7,487.0,7.0,13.0,14.373716632443532,26.694045174537987,1.0,6.0,
465,Britta,Kern,female,german,7,382.0,6.0,9.0,15.706806282722512,23.56020942408377,1.0,1.0,
528,Britta,Kern,female,german,7,502.0,14.0,9.0,27.888446215139442,17.928286852589643,2.0,4.0,
571,Britta,Kern,,,7,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 4231 (char 4230)"
6,Britta,Kern,female,german,7,386.0,9.0,12.0,23.316062176165804,31.088082901554404,1.0,7.0,
762,Britta,Kern,female,german,7,370.0,4.0,12.0,10.81081081081081,32.432432432432435,0.0,5.0,
778,Britta,Kern,female,german,7,325.0,7.0,14.0,21.538461538461537,43.07692307692307,2.0,8.0,
930,Britta,Kern,,,7,,,,,,,,JSON parse fail: Expecting value: line 1 column 6138 (char 6137)
1416,Cansu,Turan,female,turkish,25,332.0,5.0,9.0,15.060240963855422,27.10843373493976,2.0,7.0,
1485,Cansu,Turan,female,turkish,25,384.0,11.0,8.0,28.645833333333332,20.833333333333332,3.0,7.0,
