profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,certainty_count,tentative_count
377,Angelika,Kohl,female,german,19,286,7,9,4,2
465,Angelika,Kohl,female,german,19,251,6,8,8,3
528,Angelika,Kohl,female,german,19,382,12,8,8,3
571,Angelika,Kohl,female,german,19,287,4,2,7,5
6,Angelika,Kohl,female,german,19,140,2,3,1,3
762,Angelika,Kohl,female,german,19,203,5,13,3,2
778,Angelika,Kohl,female,german,19,269,9,9,7,5
930,Angelika,Kohl,female,german,19,342,0,5,2,3
1416,Britta,Kern,female,german,7,308,8,9,6,3
1485,Britta,Kern,female,german,7,205,11,12,5,1
1665,Britta,Kern,female,german,7,369,6,10,3,1
1737,Britta,Kern,female,german,7,223,3,4,2,1
176,Britta,Kern,female,german,7,335,1,9,4,8
1871,Britta,Kern,female,german,7,221,3,11,5,3
1885,Britta,Kern,female,german,7,329,8,8,3,3
201,Britta,Kern,female,german,7,267,3,15,6,10
2100,Britta,Kern,female,german,7,262,3,12,4,1
2147,Britta,Kern,female,german,7,307,3,9,8,2
2168,Britta,Kern,female,german,7,254,6,10,2,1
2173,Britta,Kern,female,german,7,325,6,13,7,3
221,Britta,Kern,female,german,7,297,7,10,5,1
2566,Britta,Kern,female,german,7,310,4,9,5,3
2589,Britta,Kern,female,german,7,219,2,7,5,7
2660,Britta,Kern,female,german,7,267,2,32,9,2
2793,Britta,Kern,female,german,7,408,2,8,6,2
2795,Britta,Kern,female,german,7,252,3,5,4,0
2860,Britta,Kern,female,german,7,247,2,22,6,0
2927,Britta,Kern,female,german,7,317,4,11,6,5
307,Britta,Kern,female,german,7,149,6,4,5,5
3131,Britta,Kern,female,german,7,347,3,8,5,4
377,Britta,Kern,female,german,7,284,5,10,2,4
465,Britta,Kern,female,german,7,228,2,11,4,3
528,Britta,Kern,female,german,7,393,7,8,4,2
571,Britta,Kern,female,german,7,220,5,3,2,4
6,Britta,Kern,female,german,7,221,7,7,10,8
762,Britta,Kern,female,german,7,269,2,17,4,0
778,Britta,Kern,female,german,7,430,17,18,12,11
930,Britta,Kern,female,german,7,350,1,11,3,9
1416,Cansu,Turan,female,turkish,25,227,4,5,0,6
1485,Cansu,Turan,female,turkish,25,297,8,9,7,3
1665,Cansu,Turan,female,turkish,25,250,6,8,4,1
1737,Cansu,Turan,female,turkish,25,218,4,4,1,2
176,Cansu,Turan,female,turkish,25,181,0,5,2,3
1871,Cansu,Turan,female,turkish,25,250,5,14,2,4
1885,Cansu,Turan,female,turkish,25,382,6,13,5,10
201,Cansu,Turan,female,turkish,25,219,6,14,1,2
2100,Cansu,Turan,female,turkish,25,309,4,12,6,7
2147,Cansu,Turan,female,turkish,25,313,7,10,8,1
2168,Cansu,Turan,female,turkish,25,362,2,15,3,15
2173,Cansu,Turan,female,turkish,25,212,0,9,3,2
221,Cansu,Turan,female,turkish,25,253,5,6,5,2
2566,Cansu,Turan,female,turkish,25,286,3,7,3,2
2589,Cansu,Turan,female,turkish,25,307,2,7,3,6
2660,Cansu,Turan,female,turkish,25,181,0,11,4,0
2793,Cansu,Turan,female,turkish,25,278,2,8,1,2
2795,Cansu,Turan,female,turkish,25,351,7,17,16,4
2860,Cansu,Turan,female,turkish,25,341,1,23,2,5
2927,Cansu,Turan,female,turkish,25,248,6,8,5,0
307,Cansu,Turan,female,turkish,25,207,8,4,2,0
3131,Cansu,Turan,female,turkish,25,386,3,12,3,1
377,Cansu,Turan,female,turkish,25,180,3,14,1,0
465,Cansu,Turan,female,turkish,25,292,8,10,7,5
528,Cansu,Turan,female,turkish,25,260,2,8,2,0
571,Cansu,Turan,female,turkish,25,181,5,2,3,3
6,Cansu,Turan,female,turkish,25,168,6,6,4,2
762,Cansu,Turan,female,turkish,25,310,6,6,3,0
778,Cansu,Turan,female,turkish,25,332,6,9,4,3
930,Cansu,Turan,female,turkish,25,277,1,14,4,3
1416,Carina,Lindner,female,german,5,268,5,13,5,3
1485,Carina,Lindner,female,german,5,253,6,9,3,3
1665,Carina,Lindner,female,german,5,326,6,11,5,3
1737,Carina,Lindner,female,german,5,363,4,9,5,4
176,Carina,Lindner,female,german,5,341,1,2,2,4
1871,Carina,Lindner,female,german,5,305,3,16,6,3
1885,Carina,Lindner,female,german,5,282,6,8,5,6
201,Carina,Lindner,female,german,5,263,16,12,15,0
2100,Carina,Lindner,female,german,5,313,5,8,7,3
2147,Carina,Lindner,female,german,5,312,2,2,6,6
2168,Carina,Lindner,female,german,5,200,2,8,3,4
2173,Carina,Lindner,female,german,5,282,2,12,10,0
221,Carina,Lindner,female,german,5,372,5,10,7,3
2566,Carina,Lindner,female,german,5,281,1,9,2,1
2589,Carina,Lindner,female,german,5,252,2,3,3,2
2660,Carina,Lindner,female,german,5,163,0,12,3,1
2793,Carina,Lindner,female,german,5,313,3,7,2,3
2795,Carina,Lindner,female,german,5,282,4,14,6,2
2860,Carina,Lindner,female,german,5,294,3,14,4,3
2927,Carina,Lindner,female,german,5,281,2,10,5,4
307,Carina,Lindner,female,german,5,215,3,6,2,2
3131,Carina,Lindner,female,german,5,209,2,1,2,2
377,Carina,Lindner,female,german,5,371,6,18,6,9
465,Carina,Lindner,female,german,5,208,4,7,5,1
528,Carina,Lindner,female,german,5,366,10,19,8,1
571,Carina,Lindner,female,german,5,247,6,3,7,1
6,Carina,Lindner,female,german,5,143,8,6,3,5
762,Carina,Lindner,female,german,5,193,2,6,2,1
778,Carina,Lindner,female,german,5,216,8,10,6,7
930,Carina,Lindner,female,german,5,286,3,8,4,3
1416,Daniel,Kuhn,male,german,14,242,4,10,4,2
1485,Daniel,Kuhn,male,german,14,247,3,9,2,2
1665,Daniel,Kuhn,male,german,14,227,5,4,0,0
1737,Daniel,Kuhn,male,german,14,235,2,6,0,1
176,Daniel,Kuhn,male,german,14,348,0,2,1,4
1871,Daniel,Kuhn,male,german,14,224,3,18,5,3
1885,Daniel,Kuhn,male,german,14,206,0,8,1,3
201,Daniel,Kuhn,male,german,14,342,11,5,10,3
2100,Daniel,Kuhn,male,german,14,285,4,14,7,1
2147,Daniel,Kuhn,male,german,14,158,2,8,5,1
2168,Daniel,Kuhn,male,german,14,284,3,15,5,6
2173,Daniel,Kuhn,male,german,14,268,5,5,5,3
221,Daniel,Kuhn,male,german,14,287,6,4,5,2
2566,Daniel,Kuhn,male,german,14,173,0,5,0,3
2589,Daniel,Kuhn,male,german,14,312,2,10,2,5
2660,Daniel,Kuhn,male,german,14,218,2,15,4,4
2793,Daniel,Kuhn,male,german,14,339,0,4,2,2
2795,Daniel,Kuhn,male,german,14,230,2,9,3,0
2860,Daniel,Kuhn,male,german,14,269,2,16,1,2
2927,Daniel,Kuhn,male,german,14,263,2,11,4,1
307,Daniel,Kuhn,male,german,14,415,8,4,11,5
3131,Daniel,Kuhn,male,german,14,262,2,7,2,0
377,Daniel,Kuhn,male,german,14,317,13,8,4,2
465,Daniel,Kuhn,male,german,14,309,9,15,7,7
528,Daniel,Kuhn,male,german,14,358,6,8,5,0
571,Daniel,Kuhn,male,german,14,230,2,7,2,2
6,Daniel,Kuhn,male,german,14,103,2,4,2,5
762,Daniel,Kuhn,male,german,14,392,11,22,7,2
778,Daniel,Kuhn,male,german,14,176,6,5,4,2
930,Daniel,Kuhn,male,german,14,391,0,7,2,4
1416,Daniela,Kuhn,female,german,13,264,1,8,0,2
1485,Daniela,Kuhn,female,german,13,182,11,9,4,2
1665,Daniela,Kuhn,female,german,13,294,7,11,3,0
1737,Daniela,Kuhn,female,german,13,279,6,8,8,2
176,Daniela,Kuhn,female,german,13,388,11,8,15,6
1871,Daniela,Kuhn,female,german,13,272,6,19,2,1
1885,Daniela,Kuhn,female,german,13,260,4,9,3,3
201,Daniela,Kuhn,female,german,13,293,5,10,3,2
2100,Daniela,Kuhn,female,german,13,286,6,16,10,2
2147,Daniela,Kuhn,female,german,13,223,6,12,7,3
2168,Daniela,Kuhn,female,german,13,259,2,12,7,3
2173,Daniela,Kuhn,female,german,13,349,1,11,9,4
221,Daniela,Kuhn,female,german,13,395,10,14,10,4
2566,Daniela,Kuhn,female,german,13,222,3,5,2,5
2589,Daniela,Kuhn,female,german,13,384,3,9,4,6
2660,Daniela,Kuhn,female,german,13,228,0,27,1,0
2793,Daniela,Kuhn,female,german,13,393,7,8,5,3
2795,Daniela,Kuhn,female,german,13,204,6,13,2,2
2860,Daniela,Kuhn,female,german,13,314,5,26,2,3
2927,Daniela,Kuhn,female,german,13,245,2,4,3,5
307,Daniela,Kuhn,female,german,13,311,9,4,9,3
3131,Daniela,Kuhn,female,german,13,320,2,5,3,6
377,Daniela,Kuhn,female,german,13,329,7,5,4,2
465,Daniela,Kuhn,female,german,13,339,7,15,10,7
528,Daniela,Kuhn,female,german,13,351,5,3,5,4
571,Daniela,Kuhn,female,german,13,244,2,7,4,0
6,Daniela,Kuhn,female,german,13,171,4,9,3,2
762,Daniela,Kuhn,female,german,13,293,7,15,9,4
778,Daniela,Kuhn,female,german,13,251,4,2,3,3
930,Daniela,Kuhn,female,german,13,394,3,6,5,3
1416,Dilek,Karakaya,female,turkish,33,231,4,7,2,4
1485,Dilek,Karakaya,female,turkish,33,201,8,18,6,5
1665,Dilek,Karakaya,female,turkish,33,403,5,6,3,1
1737,Dilek,Karakaya,female,turkish,33,249,1,9,5,0
176,Dilek,Karakaya,female,turkish,33,378,3,5,2,6
1871,Dilek,Karakaya,female,turkish,33,210,6,8,4,1
1885,Dilek,Karakaya,female,turkish,33,294,12,9,12,4
201,Dilek,Karakaya,female,turkish,33,384,16,17,12,9
2100,Dilek,Karakaya,female,turkish,33,289,6,20,8,2
2147,Dilek,Karakaya,female,turkish,33,218,3,9,4,2
2168,Dilek,Karakaya,female,turkish,33,303,12,7,10,5
2173,Dilek,Karakaya,female,turkish,33,273,5,10,7,3
221,Dilek,Karakaya,female,turkish,33,262,5,6,5,2
2566,Dilek,Karakaya,female,turkish,33,309,4,8,5,0
2589,Dilek,Karakaya,female,turkish,33,350,1,9,4,5
2660,Dilek,Karakaya,female,turkish,33,213,2,13,6,0
2793,Dilek,Karakaya,female,turkish,33,333,3,1,3,4
2795,Dilek,Karakaya,female,turkish,33,211,2,13,4,2
2860,Dilek,Karakaya,female,turkish,33,247,1,16,2,4
2927,Dilek,Karakaya,female,turkish,33,214,2,5,4,0
307,Dilek,Karakaya,female,turkish,33,187,4,2,3,0
3131,Dilek,Karakaya,female,turkish,33,380,4,12,3,7
377,Dilek,Karakaya,female,turkish,33,241,7,14,3,1
465,Dilek,Karakaya,female,turkish,33,238,1,6,3,2
528,Dilek,Karakaya,female,turkish,33,411,9,6,10,3
571,Dilek,Karakaya,female,turkish,33,204,3,6,2,1
6,Dilek,Karakaya,female,turkish,33,114,2,5,1,4
762,Dilek,Karakaya,female,turkish,33,195,5,17,3,1
778,Dilek,Karakaya,female,turkish,33,387,8,13,6,10
930,Dilek,Karakaya,female,turkish,33,254,5,3,4,2
1416,Emre,Eren,male,turkish,22,317,6,10,3,4
1485,Emre,Eren,male,turkish,22,277,9,9,5,4
1665,Emre,Eren,male,turkish,22,387,7,10,4,6
1737,Emre,Eren,male,turkish,22,191,2,9,3,2
176,Emre,Eren,male,turkish,22,342,5,4,6,5
1871,Emre,Eren,male,turkish,22,195,4,9,5,1
1885,Emre,Eren,male,turkish,22,403,6,17,5,7
201,Emre,Eren,male,turkish,22,266,5,18,1,1
2100,Emre,Eren,male,turkish,22,356,7,15,10,1
2147,Emre,Eren,male,turkish,22,225,6,4,8,1
2168,Emre,Eren,male,turkish,22,420,4,13,8,7
2173,Emre,Eren,male,turkish,22,224,4,8,3,2
221,Emre,Eren,male,turkish,22,288,5,6,6,2
2566,Emre,Eren,male,turkish,22,283,2,5,1,2
2589,Emre,Eren,male,turkish,22,330,2,15,4,3
2660,Emre,Eren,male,turkish,22,239,4,16,8,1
2793,Emre,Eren,male,turkish,22,294,3,9,4,6
2795,Emre,Eren,male,turkish,22,340,6,12,9,3
2860,Emre,Eren,male,turkish,22,216,2,13,3,3
2927,Emre,Eren,male,turkish,22,284,5,4,6,3
307,Emre,Eren,male,turkish,22,282,5,4,2,1
3131,Emre,Eren,male,turkish,22,385,4,14,6,2
377,Emre,Eren,male,turkish,22,409,3,8,6,9
465,Emre,Eren,male,turkish,22,245,5,9,7,5
528,Emre,Eren,male,turkish,22,285,6,6,4,3
571,Emre,Eren,male,turkish,22,263,3,3,3,4
6,Emre,Eren,male,turkish,22,132,3,9,3,1
762,Emre,Eren,male,turkish,22,378,5,29,8,11
778,Emre,Eren,male,turkish,22,272,7,5,4,6
930,Emre,Eren,male,turkish,22,355,3,7,3,3
1416,Fabian,Kern,male,german,8,252,5,9,4,7
1485,Fabian,Kern,male,german,8,265,7,5,4,2
1665,Fabian,Kern,male,german,8,302,10,5,4,5
1737,Fabian,Kern,male,german,8,236,2,12,2,0
176,Fabian,Kern,male,german,8,337,2,10,3,5
1871,Fabian,Kern,male,german,8,357,5,9,3,4
1885,Fabian,Kern,male,german,8,268,3,5,4,3
201,Fabian,Kern,male,german,8,204,3,18,4,7
2100,Fabian,Kern,male,german,8,311,3,15,6,1
2147,Fabian,Kern,male,german,8,294,8,10,11,5
2168,Fabian,Kern,male,german,8,338,4,8,3,1
2173,Fabian,Kern,male,german,8,272,4,5,3,1
221,Fabian,Kern,male,german,8,246,6,9,9,3
2566,Fabian,Kern,male,german,8,247,3,7,1,4
2589,Fabian,Kern,male,german,8,325,1,10,3,3
2660,Fabian,Kern,male,german,8,188,0,11,6,0
2793,Fabian,Kern,male,german,8,182,7,3,2,1
2795,Fabian,Kern,male,german,8,188,4,8,3,1
2860,Fabian,Kern,male,german,8,336,5,27,4,2
2927,Fabian,Kern,male,german,8,204,3,7,2,2
307,Fabian,Kern,male,german,8,241,3,7,4,1
3131,Fabian,Kern,male,german,8,331,2,4,2,4
377,Fabian,Kern,male,german,8,371,6,16,6,4
465,Fabian,Kern,male,german,8,299,11,14,10,4
528,Fabian,Kern,male,german,8,282,4,3,6,3
571,Fabian,Kern,male,german,8,154,2,3,4,5
6,Fabian,Kern,male,german,8,167,8,10,2,2
762,Fabian,Kern,male,german,8,263,6,10,7,3
778,Fabian,Kern,male,german,8,281,5,5,5,8
930,Fabian,Kern,male,german,8,411,3,3,3,5
1416,Fikret,Akman,male,turkish,28,321,0,12,5,7
1485,Fikret,Akman,male,turkish,28,372,10,14,13,2
1665,Fikret,Akman,male,turkish,28,261,4,5,4,2
1737,Fikret,Akman,male,turkish,28,312,7,12,4,3
176,Fikret,Akman,male,turkish,28,315,1,9,4,3
1871,Fikret,Akman,male,turkish,28,240,2,11,4,2
1885,Fikret,Akman,male,turkish,28,246,2,14,2,1
201,Fikret,Akman,male,turkish,28,360,8,12,1,10
2100,Fikret,Akman,male,turkish,28,246,4,6,7,2
2147,Fikret,Akman,male,turkish,28,358,5,14,9,3
2168,Fikret,Akman,male,turkish,28,274,0,11,5,1
2173,Fikret,Akman,male,turkish,28,237,5,6,6,1
221,Fikret,Akman,male,turkish,28,193,7,6,4,1
2566,Fikret,Akman,male,turkish,28,289,0,5,2,0
2589,Fikret,Akman,male,turkish,28,216,1,8,3,3
2660,Fikret,Akman,male,turkish,28,206,1,16,6,3
2793,Fikret,Akman,male,turkish,28,437,6,10,8,10
2795,Fikret,Akman,male,turkish,28,274,1,18,11,1
2860,Fikret,Akman,male,turkish,28,517,3,48,11,11
2927,Fikret,Akman,male,turkish,28,232,0,8,0,5
307,Fikret,Akman,male,turkish,28,339,11,5,14,3
3131,Fikret,Akman,male,turkish,28,290,3,16,4,2
377,Fikret,Akman,male,turkish,28,438,4,19,4,9
465,Fikret,Akman,male,turkish,28,398,4,10,4,3
528,Fikret,Akman,male,turkish,28,310,6,5,4,6
571,Fikret,Akman,male,turkish,28,305,0,5,3,4
6,Fikret,Akman,male,turkish,28,124,4,7,3,4
762,Fikret,Akman,male,turkish,28,239,6,17,5,2
778,Fikret,Akman,male,turkish,28,372,8,8,4,6
930,Fikret,Akman,male,turkish,28,305,1,8,2,3
1416,Gül,Sönmez,female,turkish,29,237,7,5,10,2
1485,Gül,Sönmez,female,turkish,29,274,7,14,4,1
1665,Gül,Sönmez,female,turkish,29,276,7,7,5,3
1737,Gül,Sönmez,female,turkish,29,244,5,4,4,2
176,Gül,Sönmez,female,turkish,29,396,3,14,5,2
1871,Gül,Sönmez,female,turkish,29,331,4,25,6,3
1885,Gül,Sönmez,female,turkish,29,346,4,15,3,3
201,Gül,Sönmez,female,turkish,29,225,2,17,7,6
2100,Gül,Sönmez,female,turkish,29,171,5,5,4,1
2147,Gül,Sönmez,female,turkish,29,372,6,14,10,6
2168,Gül,Sönmez,female,turkish,29,280,2,12,7,6
2173,Gül,Sönmez,female,turkish,29,208,3,6,3,4
221,Gül,Sönmez,female,turkish,29,219,5,4,6,2
2566,Gül,Sönmez,female,turkish,29,174,3,7,2,2
2589,Gül,Sönmez,female,turkish,29,361,2,4,4,2
2660,Gül,Sönmez,female,turkish,29,221,0,19,2,2
2793,Gül,Sönmez,female,turkish,29,246,4,6,4,3
2795,Gül,Sönmez,female,turkish,29,209,4,2,1,1
2860,Gül,Sönmez,female,turkish,29,230,0,15,3,1
2927,Gül,Sönmez,female,turkish,29,397,4,16,8,7
307,Gül,Sönmez,female,turkish,29,293,4,4,4,5
3131,Gül,Sönmez,female,turkish,29,352,2,1,2,6
377,Gül,Sönmez,female,turkish,29,358,11,19,2,2
465,Gül,Sönmez,female,turkish,29,254,2,10,2,2
528,Gül,Sönmez,female,turkish,29,269,4,9,1,4
571,Gül,Sönmez,female,turkish,29,316,5,6,3,2
6,Gül,Sönmez,female,turkish,29,191,4,15,2,4
762,Gül,Sönmez,female,turkish,29,286,4,15,5,2
778,Gül,Sönmez,female,turkish,29,239,8,11,5,2
930,Gül,Sönmez,female,turkish,29,466,1,16,8,9
1416,Hatice,Şeker,female,turkish,39,209,3,3,3,2
1485,Hatice,Şeker,female,turkish,39,236,7,2,3,2
1665,Hatice,Şeker,female,turkish,39,288,4,18,3,2
1737,Hatice,Şeker,female,turkish,39,300,3,14,6,2
176,Hatice,Şeker,female,turkish,39,366,3,13,2,3
1871,Hatice,Şeker,female,turkish,39,203,1,6,8,1
1885,Hatice,Şeker,female,turkish,39,386,5,23,5,5
201,Hatice,Şeker,female,turkish,39,172,1,13,1,2
2100,Hatice,Şeker,female,turkish,39,289,5,14,9,1
2147,Hatice,Şeker,female,turkish,39,274,4,8,7,3
2168,Hatice,Şeker,female,turkish,39,190,2,12,6,3
2173,Hatice,Şeker,female,turkish,39,243,7,7,3,4
221,Hatice,Şeker,female,turkish,39,283,2,8,1,2
2566,Hatice,Şeker,female,turkish,39,311,4,8,4,3
2589,Hatice,Şeker,female,turkish,39,331,1,10,5,6
2660,Hatice,Şeker,female,turkish,39,248,2,26,6,4
2793,Hatice,Şeker,female,turkish,39,258,1,5,2,2
2795,Hatice,Şeker,female,turkish,39,226,3,12,1,2
2860,Hatice,Şeker,female,turkish,39,280,0,26,2,1
2927,Hatice,Şeker,female,turkish,39,419,5,12,6,2
307,Hatice,Şeker,female,turkish,39,233,11,4,8,3
3131,Hatice,Şeker,female,turkish,39,250,4,9,1,1
377,Hatice,Şeker,female,turkish,39,268,11,7,5,1
465,Hatice,Şeker,female,turkish,39,280,3,8,5,4
528,Hatice,Şeker,female,turkish,39,332,1,5,0,0
571,Hatice,Şeker,female,turkish,39,180,2,3,2,1
6,Hatice,Şeker,female,turkish,39,109,2,4,2,5
762,Hatice,Şeker,female,turkish,39,255,4,13,7,8
778,Hatice,Şeker,female,turkish,39,288,5,11,3,4
930,Hatice,Şeker,female,turkish,39,283,5,5,3,4
1416,Havva,Eren,female,turkish,21,312,4,18,7,9
1485,Havva,Eren,female,turkish,21,226,6,12,2,1
1665,Havva,Eren,female,turkish,21,253,7,6,2,1
1737,Havva,Eren,female,turkish,21,179,4,4,3,3
176,Havva,Eren,female,turkish,21,243,3,9,7,1
1871,Havva,Eren,female,turkish,21,347,7,23,7,2
1885,Havva,Eren,female,turkish,21,368,4,17,4,6
201,Havva,Eren,female,turkish,21,272,3,15,5,10
2100,Havva,Eren,female,turkish,21,310,5,19,9,4
2147,Havva,Eren,female,turkish,21,257,3,4,4,2
2168,Havva,Eren,female,turkish,21,283,5,14,4,5
2173,Havva,Eren,female,turkish,21,287,4,12,7,2
221,Havva,Eren,female,turkish,21,224,4,2,2,0
2566,Havva,Eren,female,turkish,21,216,2,8,3,0
2589,Havva,Eren,female,turkish,21,454,2,9,3,7
2660,Havva,Eren,female,turkish,21,241,1,16,2,3
2793,Havva,Eren,female,turkish,21,334,4,6,2,3
2795,Havva,Eren,female,turkish,21,289,0,8,3,3
2860,Havva,Eren,female,turkish,21,292,2,16,6,3
2927,Havva,Eren,female,turkish,21,300,1,5,2,8
307,Havva,Eren,female,turkish,21,341,9,7,6,11
3131,Havva,Eren,female,turkish,21,272,2,11,0,0
377,Havva,Eren,female,turkish,21,270,8,6,6,5
465,Havva,Eren,female,turkish,21,300,5,11,7,5
528,Havva,Eren,female,turkish,21,369,6,4,7,4
571,Havva,Eren,female,turkish,21,237,4,3,3,4
6,Havva,Eren,female,turkish,21,93,3,5,1,4
762,Havva,Eren,female,turkish,21,225,6,9,5,1
778,Havva,Eren,female,turkish,21,225,2,14,3,4
930,Havva,Eren,female,turkish,21,342,1,6,2,0
1416,Henrik,Kohl,male,german,20,205,3,9,1,3
1485,Henrik,Kohl,male,german,20,186,6,7,7,3
1665,Henrik,Kohl,male,german,20,315,6,5,5,1
1737,Henrik,Kohl,male,german,20,272,5,19,6,6
176,Henrik,Kohl,male,german,20,337,10,2,9,1
1871,Henrik,Kohl,male,german,20,286,6,17,5,4
1885,Henrik,Kohl,male,german,20,310,1,10,5,3
201,Henrik,Kohl,male,german,20,340,5,25,6,9
2100,Henrik,Kohl,male,german,20,347,8,6,3,4
2147,Henrik,Kohl,male,german,20,309,7,12,9,5
2168,Henrik,Kohl,male,german,20,320,0,9,6,5
2173,Henrik,Kohl,male,german,20,139,6,2,6,0
221,Henrik,Kohl,male,german,20,308,6,14,3,1
2566,Henrik,Kohl,male,german,20,193,2,4,1,0
2589,Henrik,Kohl,male,german,20,248,2,1,1,1
2660,Henrik,Kohl,male,german,20,194,1,20,7,1
2793,Henrik,Kohl,male,german,20,596,3,4,4,3
2795,Henrik,Kohl,male,german,20,388,1,13,5,4
2860,Henrik,Kohl,male,german,20,288,2,22,2,3
2927,Henrik,Kohl,male,german,20,377,3,14,9,8
307,Henrik,Kohl,male,german,20,247,8,5,5,4
3131,Henrik,Kohl,male,german,20,197,2,2,1,2
377,Henrik,Kohl,male,german,20,340,3,11,1,1
465,Henrik,Kohl,male,german,20,309,5,16,7,4
528,Henrik,Kohl,male,german,20,337,7,7,9,3
